,Item,ServingSize,Calories,CaloriesFromFat,TotalFat,TF%OfDailyValue,SaturatedFat,SF%OfDailyValue,TransFat,Cholesterol,Chol%OfDailyValue,Sodium,S%OfDailyValue,Carbohydrates,Carb%OfDailyValue,DietaryFiber,Fiber%OfDailyValue,Sugar,Protien,%VitaminA,%VitaminC,%Calcium,%Iron,Category_Beef & Pork,Category_Beverages,Category_Breakfast,Category_Chicken & Fish,Category_Coffee & Tea,Category_Desserts,Category_Salads,Category_Smoothies & Shakes,Category_Snacks & Sides,Resturant_InNOut,Resturant_McDonalds,Resturant_RedRobin
222,Iced Nonfat Caramel Mocha (Large),22 fl oz cup,370.0,50.0,6.0,8.0,3.5,17.0,0.0,25.0,8.0,250.0,10.0,65.0,22.0,1.0,3.0,59.0,14.0,20.0,0.0,45.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
223,Frappé Mocha (Small),12 fl oz cup,450.0,160.0,18.0,28.0,12.0,59.0,1.0,65.0,21.0,125.0,5.0,65.0,22.0,1.0,3.0,57.0,7.0,15.0,0.0,20.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
224,Frappé Mocha (Medium),16 fl oz cup,550.0,200.0,22.0,34.0,14.0,71.0,1.0,75.0,25.0,160.0,7.0,80.0,27.0,1.0,4.0,71.0,9.0,15.0,0.0,25.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
225,Frappé Mocha (Large),22 fl oz cup,670.0,240.0,26.0,41.0,17.0,85.0,1.0,90.0,30.0,190.0,8.0,98.0,33.0,1.0,4.0,88.0,11.0,20.0,0.0,35.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
226,Frappé Caramel (Small),12 fl oz cup,450.0,170.0,19.0,29.0,12.0,60.0,1.0,65.0,22.0,125.0,5.0,64.0,21.0,0.0,0.0,57.0,7.0,15.0,0.0,25.0,2.0,0,0,0,0,1,0,0,0,0,0,1,0
227,Frappé Caramel (Medium),16 fl oz cup,550.0,200.0,23.0,35.0,15.0,73.0,1.0,80.0,27.0,160.0,7.0,79.0,26.0,0.0,0.0,71.0,9.0,20.0,0.0,30.0,2.0,0,0,0,0,1,0,0,0,0,0,1,0
228,Frappé Caramel (Large),22 fl oz cup,670.0,250.0,27.0,42.0,17.0,87.0,1.5,95.0,32.0,190.0,8.0,96.0,32.0,0.0,0.0,88.0,11.0,20.0,0.0,35.0,2.0,0,0,0,0,1,0,0,0,0,0,1,0
229,Frappé Chocolate Chip (Small),12 fl oz cup,530.0,200.0,23.0,35.0,14.0,72.0,1.0,65.0,22.0,135.0,6.0,76.0,25.0,1.0,5.0,67.0,8.0,15.0,0.0,25.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
230,Frappé Chocolate Chip (Medium),16 fl oz cup,630.0,240.0,26.0,41.0,17.0,85.0,1.0,80.0,26.0,160.0,7.0,91.0,30.0,1.0,5.0,81.0,9.0,15.0,0.0,30.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
231,Frappé Chocolate Chip (Large),22 fl oz cup,760.0,280.0,31.0,48.0,20.0,101.0,1.5,95.0,32.0,200.0,8.0,111.0,37.0,1.0,5.0,99.0,12.0,20.0,0.0,35.0,6.0,0,0,0,0,1,0,0,0,0,0,1,0
232,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,220.0,5.0,0.5,1.0,0.0,0.0,0.0,5.0,1.0,40.0,2.0,50.0,17.0,3.0,12.0,44.0,2.0,0.0,2.0,6.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0
233,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,260.0,5.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,50.0,2.0,62.0,21.0,4.0,15.0,54.0,3.0,0.0,4.0,8.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0
234,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,340.0,10.0,1.0,2.0,0.5,3.0,0.0,5.0,2.0,65.0,3.0,79.0,26.0,5.0,19.0,70.0,4.0,0.0,4.0,10.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0
235,Strawberry Banana Smoothie (Small),12 fl oz cup,210.0,5.0,0.5,1.0,0.0,0.0,0.0,5.0,1.0,50.0,2.0,47.0,16.0,3.0,10.0,44.0,3.0,0.0,30.0,8.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0
236,Strawberry Banana Smoothie (Medium),16 fl oz cup,250.0,5.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,60.0,2.0,58.0,19.0,3.0,13.0,54.0,4.0,0.0,35.0,8.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
237,Strawberry Banana Smoothie (Large),22 fl oz cup,330.0,10.0,1.0,2.0,0.5,3.0,0.0,5.0,2.0,80.0,3.0,74.0,25.0,4.0,16.0,70.0,5.0,0.0,45.0,10.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
238,Mango Pineapple Smoothie (Small),12 fl oz cup,210.0,5.0,0.5,1.0,0.0,0.0,0.0,5.0,1.0,40.0,2.0,50.0,17.0,1.0,4.0,46.0,2.0,30.0,20.0,8.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0
239,Mango Pineapple Smoothie (Medium),16 fl oz cup,260.0,10.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,45.0,2.0,61.0,20.0,1.0,5.0,56.0,3.0,40.0,25.0,8.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0
240,Mango Pineapple Smoothie (Large),22 fl oz cup,340.0,10.0,1.0,2.0,0.5,3.0,0.0,5.0,2.0,60.0,3.0,78.0,26.0,2.0,6.0,72.0,4.0,50.0,30.0,10.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0
241,Vanilla Shake (Small),12 fl oz cup,530.0,140.0,15.0,24.0,10.0,49.0,1.0,60.0,20.0,160.0,7.0,86.0,29.0,0.0,0.0,63.0,11.0,20.0,0.0,40.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
242,Vanilla Shake (Medium),16 fl oz cup,660.0,170.0,19.0,29.0,12.0,61.0,1.0,75.0,24.0,200.0,9.0,109.0,36.0,0.0,0.0,81.0,14.0,25.0,0.0,50.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
243,Vanilla Shake (Large),22 fl oz cup,820.0,210.0,23.0,35.0,15.0,73.0,1.0,90.0,29.0,260.0,11.0,135.0,45.0,0.0,0.0,101.0,18.0,30.0,0.0,60.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
244,Strawberry Shake (Small),12 fl oz cup,550.0,150.0,16.0,25.0,10.0,52.0,1.0,60.0,21.0,160.0,7.0,90.0,30.0,0.0,0.0,79.0,12.0,20.0,0.0,40.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
245,Strawberry Shake (Medium),16 fl oz cup,690.0,180.0,20.0,30.0,13.0,63.0,1.0,75.0,25.0,210.0,9.0,114.0,38.0,0.0,0.0,100.0,15.0,25.0,0.0,50.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
246,Strawberry Shake (Large),22 fl oz cup,850.0,210.0,24.0,36.0,15.0,75.0,1.0,90.0,30.0,260.0,11.0,140.0,47.0,0.0,0.0,123.0,18.0,30.0,0.0,70.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
247,Chocolate Shake (Small),12 fl oz cup,560.0,150.0,16.0,25.0,10.0,51.0,1.0,60.0,20.0,240.0,10.0,91.0,30.0,1.0,5.0,77.0,12.0,20.0,0.0,40.0,8.0,0,0,0,0,0,0,0,1,0,0,1,0
248,Chocolate Shake (Medium),16 fl oz cup,700.0,180.0,20.0,30.0,12.0,62.0,1.0,75.0,24.0,300.0,13.0,114.0,38.0,2.0,6.0,97.0,15.0,25.0,0.0,50.0,10.0,0,0,0,0,0,0,0,1,0,0,1,0
249,Chocolate Shake (Large),22 fl oz cup,850.0,210.0,23.0,36.0,15.0,74.0,1.0,85.0,29.0,380.0,16.0,141.0,47.0,2.0,8.0,120.0,19.0,30.0,0.0,60.0,15.0,0,0,0,0,0,0,0,1,0,0,1,0
250,Shamrock Shake (Medium),16 fl oz cup,660.0,170.0,19.0,29.0,12.0,61.0,1.0,75.0,24.0,210.0,9.0,109.0,36.0,0.0,0.0,93.0,14.0,25.0,0.0,50.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
251,Shamrock Shake (Large),22 fl oz cup,820.0,210.0,23.0,35.0,15.0,73.0,1.0,90.0,29.0,260.0,11.0,135.0,45.0,0.0,0.0,115.0,18.0,30.0,0.0,60.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
252,McFlurry with M&M’s Candies (Small),10.9 oz (310 g),650.0,210.0,23.0,35.0,14.0,72.0,0.5,50.0,17.0,180.0,7.0,96.0,32.0,1.0,6.0,89.0,13.0,15.0,0.0,45.0,8.0,0,0,0,0,0,0,0,1,0,0,1,0
253,McFlurry with M&M’s Candies (Medium),16.2 oz (460 g),930.0,290.0,33.0,50.0,20.0,102.0,1.0,75.0,25.0,260.0,11.0,139.0,46.0,2.0,7.0,128.0,20.0,25.0,0.0,70.0,10.0,0,0,0,0,0,0,0,1,0,0,1,0
254,McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),430.0,140.0,15.0,24.0,10.0,48.0,0.0,35.0,11.0,120.0,5.0,64.0,21.0,1.0,4.0,59.0,9.0,10.0,0.0,30.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
255,McFlurry with Oreo Cookies (Small),10.1 oz (285 g),510.0,150.0,17.0,26.0,9.0,44.0,0.5,45.0,14.0,280.0,12.0,80.0,27.0,1.0,4.0,64.0,12.0,15.0,0.0,40.0,8.0,0,0,0,0,0,0,0,1,0,0,1,0
256,McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),690.0,200.0,23.0,35.0,12.0,58.0,1.0,55.0,19.0,380.0,16.0,106.0,35.0,1.0,5.0,85.0,15.0,20.0,0.0,50.0,10.0,0,0,0,0,0,0,0,1,0,0,1,0
257,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),340.0,100.0,11.0,17.0,6.0,29.0,0.0,30.0,9.0,190.0,8.0,53.0,18.0,1.0,2.0,43.0,8.0,10.0,0.0,25.0,6.0,0,0,0,0,0,0,0,1,0,0,1,0
258,McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),810.0,290.0,32.0,50.0,15.0,76.0,1.0,60.0,20.0,400.0,17.0,114.0,38.0,2.0,9.0,103.0,21.0,20.0,0.0,60.0,6.0,0,0,0,0,0,0,0,1,0,0,1,0
259,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),410.0,150.0,16.0,25.0,8.0,38.0,0.0,30.0,10.0,200.0,8.0,57.0,19.0,1.0,5.0,51.0,10.0,10.0,0.0,30.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
260,Hamburger w/Onion,243,390.0,170.0,19.0,30.0,5.0,27.0,0.0,40.0,13.0,650.0,27.0,39.0,13.0,3.0,11.0,10.0,16.0,10.0,15.0,4.0,20.0,1,0,0,0,0,0,0,0,0,1,0,0
261,with mustard & ketchup instead of spread,243,310.0,90.0,10.0,15.0,4.0,20.0,0.0,35.0,12.0,730.0,30.0,41.0,14.0,3.0,11.0,10.0,16.0,15.0,20.0,4.0,20.0,1,0,0,0,0,0,0,0,0,1,0,0
262,Protein® Style (Bun replaced with Lettuce),275,240.0,150.0,17.0,26.0,4.0,22.0,0.0,40.0,13.0,370.0,15.0,11.0,4.0,3.0,11.0,7.0,13.0,15.0,20.0,4.0,15.0,1,0,0,0,0,0,0,0,0,1,0,0
263,Cheeseburger w/Onion,268,480.0,240.0,27.0,41.0,10.0,51.0,0.5,60.0,20.0,1000.0,42.0,39.0,13.0,3.0,11.0,10.0,22.0,15.0,15.0,20.0,20.0,1,0,0,0,0,0,0,0,0,1,0,0
264,with mustard & ketchup instead of spread,268,400.0,160.0,18.0,27.0,9.0,44.0,0.5,60.0,20.0,1080.0,45.0,41.0,14.0,3.0,11.0,10.0,22.0,20.0,20.0,20.0,20.0,1,0,0,0,0,0,0,0,0,1,0,0
265,Protein® Style (Bun replaced with Lettuce),300,330.0,220.0,25.0,38.0,9.0,47.0,0.0,60.0,20.0,720.0,30.0,11.0,4.0,3.0,11.0,7.0,18.0,20.0,20.0,20.0,15.0,1,0,0,0,0,0,0,0,0,1,0,0
266,Double-Double w/Onion,330,670.0,370.0,41.0,63.0,18.0,90.0,1.0,120.0,40.0,1440.0,60.0,39.0,13.0,3.0,11.0,10.0,37.0,20.0,15.0,35.0,30.0,1,0,0,0,0,0,0,0,0,1,0,0
267,with mustard & ketchup instead of spread,330,590.0,290.0,32.0,49.0,17.0,83.0,1.0,115.0,39.0,1520.0,63.0,41.0,14.0,3.0,11.0,10.0,37.0,25.0,20.0,35.0,30.0,1,0,0,0,0,0,0,0,0,1,0,0
268,Protein® Style (Bun replaced with Lettuce),362,520.0,350.0,39.0,60.0,17.0,86.0,1.0,120.0,40.0,1160.0,48.0,11.0,4.0,3.0,11.0,7.0,33.0,25.0,20.0,35.0,25.0,1,0,0,0,0,0,0,0,0,1,0,0
269,French Fries,125,395.0,160.0,18.0,27.0,5.0,25.0,0.0,0.0,0.0,245.0,10.0,54.0,18.0,2.0,8.0,0.0,7.0,0.0,0.0,2.0,10.0,0,0,0,0,0,0,0,0,1,1,0,0
270,Chocolate Shake,15oz.,590.0,260.0,29.0,45.0,19.0,97.0,1.0,15.0,5.0,320.0,13.0,72.0,24.0,0.0,0.0,65.0,10.0,25.0,0.0,35.0,10.0,0,0,0,0,0,0,0,1,0,1,0,0
271,Vanilla Shake,15oz.,580.0,280.0,31.0,48.0,20.0,101.0,1.0,20.0,7.0,300.0,12.0,67.0,22.0,0.0,0.0,57.0,10.0,25.0,0.0,35.0,8.0,0,0,0,0,0,0,0,1,0,1,0,0
272,Strawberry Shake,15oz.,590.0,240.0,27.0,42.0,18.0,89.0,1.0,15.0,5.0,270.0,11.0,81.0,27.0,0.0,0.0,67.0,8.0,20.0,0.0,30.0,15.0,0,0,0,0,0,0,0,1,0,1,0,0
273,Coca-Cola Classic,16oz.,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,54.0,18.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
274,Diet Coke,16oz.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
275,Seven Up,16oz.,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,54.0,18.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
276,Dr Pepper,16oz.,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,52.0,18.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
277,Root Beer,16oz.,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,60.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
278,Lemonade,16oz.,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,13.0,0.0,0.0,38.0,0.0,0.0,8.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
279,Minute Maid Light Lemonade,16oz.,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
280,Iced Tea,16oz.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
281,Coffee,16oz.,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0
282,Milk,10oz.,180.0,50.0,6.0,9.0,4.0,19.0,0.0,30.0,9.0,190.0,8.0,18.0,6.0,0.0,0.0,18.0,12.0,15.0,6.0,45.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
283,Fried Pickle Nickels,,740.0,450.0,50.0,,8.0,,0.5,65.0,,2830.0,,62.0,,3.0,,14.0,6.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
284,Pretzel Bites,,810.0,360.0,40.0,,11.0,,0.5,30.0,,1780.0,,95.0,,9.0,,6.0,16.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
285,The O-Ring Shorty®,,910.0,500.0,56.0,,10.0,,1.0,45.0,,2130.0,,94.0,,4.0,,27.0,9.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
286,Towering Onion Rings®,,1290.0,520.0,57.0,,10.0,,1.0,50.0,,3550.0,,179.0,,7.0,,42.0,17.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
287,Wings Red’s Bold Boneless Wings with Buzz Sauce,,990.0,490.0,55.0,,29.0,,0.5,115.0,,3520.0,,71.0,,15.0,,4.0,23.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
288,Wings Red’s Bold Boneless Wings with Whiskey River Sauce,,1010.0,380.0,42.0,,21.0,,0.5,110.0,,2780.0,,103.0,,15.0,,30.0,23.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
289,Wings Red’s Bold Boneless Wings with Island Heat Sauce,,960.0,460.0,63.0,,21.0,,0.5,110.0,,2180.0,,103.0,,15.0,,35.0,22.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
290,Wings Red’s Bold Boneless Wings with Banzai Sauce,,930.0,330.0,37.0,,20.0,,0.5,110.0,,3080.0,,94.0,,14.0,,25.0,23.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
291,Wings Bone-In Bar Wings with Buzz Sauce,,1260.0,790.0,88.0,,37.0,,0.5,475.0,,2880.0,,26.0,,7.0,,3.0,93.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
292,Wings Bone-In Bar Wings with Whiskey River Sauce,,1280.0,680.0,76.0,,30.0,,0.5,465.0,,2140.0,,58.0,,7.0,,30.0,93.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
293,Wings Bone-In Bar Wings with Island Heat Sauce,,1230.0,760.0,96.0,,29.0,,0.5,465.0,,1540.0,,58.0,,7.0,,34.0,91.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
294,Wings Bone-In Bar Wings with Banzai Sauce,,1200.0,630.0,70.0,,29.0,,0.5,465.0,,2430.0,,49.0,,6.0,,25.0,93.0,,,,,0,0,0,1,0,0,0,0,0,0,0,1
295,Cheese Sticks,,550.0,270.0,30.0,,14.0,,1.0,55.0,,1730.0,,43.0,,2.0,,13.0,26.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
296,Fresh-Fried Zucchini Sticks,,520.0,390.0,43.0,,14.0,,0.5,20.0,,1380.0,,28.0,,4.0,,4.0,4.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
297,Fried Jalapeño Coins,,560.0,370.0,41.0,,7.0,,0.5,20.0,,1440.0,,38.0,,7.0,,6.0,5.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
298,Sweet Potato Fries,,410.0,120.0,14.0,,12.0,,0.0,0.0,,1030.0,,68.0,,5.0,,43.0,3.0,,,,,0,0,0,0,0,0,0,0,1,0,0,1
299,Bacon Cheeseburger√,,990.0,610.0,68.0,,22.0,,2.0,165.0,,1730.0,,49.0,,2.0,,11.0,47.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
300,Banzai,,960.0,540.0,60.0,,19.0,,2.0,135.0,,1360.0,,63.0,,3.0,,24.0,42.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
301,Burnin’ Love,,910.0,530.0,61.0,,19.0,,1.5,135.0,,1190.0,,56.0,,4.0,,11.0,42.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
302,Burnin’ Love Chicken,,740.0,370.0,43.0,,12.0,,0.5,130.0,,1710.0,,57.0,,5.0,,12.0,42.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
303,Guacamole Bacon,,930.0,520.0,58.0,,20.0,,1.5,155.0,,1340.0,,51.0,,4.0,,11.0,51.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
304,Keep It Simple,Beef,530.0,220.0,24.0,,9.0,,1.0,90.0,,760.0,,44.0,,3.0,,9.0,34.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
305,Monster Burger√,,1210.0,690.0,77.0,,31.0,,3.0,255.0,,2410.0,,59.0,,3.0,,20.0,72.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
306,Red Robin® Gourmet Cheeseburger√,,800.0,430.0,47.0,,17.0,,1.5,130.0,,1610.0,,56.0,,3.0,,18.0,40.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
307,Royal Red Robin,,1110.0,700.0,78.0,,25.0,,2.0,350.0,,1850.0,,49.0,,2.0,,11.0,54.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
308,Sautéed ’Shroom,,770.0,360.0,40.0,,17.0,,1.5,120.0,,1050.0,,53.0,,7.0,,10.0,48.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
309,The WedgieTM Burger,,550.0,310.0,35.0,,13.0,,1.0,125.0,,880.0,,19.0,,5.0,,7.0,39.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
310,Veggie Burger,,750.0,400.0,44.0,,12.0,,0.5,40.0,,1240.0,,69.0,,12.0,,14.0,24.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
311,Veggie Vegan Burger w/ Steamed Broccoli,,260.0,90.0,11.0,,1.5,,0.0,0.0,,640.0,,34.0,,14.0,,11.0,13.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
312,Whiskey River® BBQ,,1140.0,670.0,75.0,,21.0,,2.0,135.0,,1340.0,,73.0,,4.0,,22.0,44.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
313,Turkey Patty,,230.0,130.0,15.0,,4.0,,0.0,80.0,,550.0,,2.0,,0.0,,0.0,21.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
314,Grilled Chicken Patty,,120.0,10.0,1.5,,0.5,,0.0,90.0,,600.0,,0.0,,1.0,,0.0,27.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
315,Gourmet Burger Patty,,290.0,180.0,20.0,,8.0,,1.0,90.0,,80.0,,0.0,,0.0,,0.0,27.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
316,Crispy Chicken Patty,,430.0,240.0,26.0,,5.0,,0.0,65.0,,1070.0,,21.0,,2.0,,0.0,27.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
317,Tavern Patty,,130.0,80.0,9.0,,3.5,,0.5,40.0,,40.0,,0.0,,0.0,,0.0,12.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
318,ImpossibleTM Burger Patty,,220.0,110.0,12.0,,7.0,,0.0,0.0,,340.0,,8.0,,2.0,,1.0,18.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
319,Ancient-Grain Veggie/Vegan Patty,,130.0,35.0,4.0,,0.5,,0.0,0.0,,340.0,,17.0,,7.0,,5.0,7.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
320,Milkshake (Vanilla),Monster,940.0,340.0,38.0,,24.0,,1.5,145.0,,350.0,,133.0,,0.0,,119.0,19.0,,,,,0,0,0,0,0,0,0,1,0,0,0,1
321,Oreo Cookie Magic,Monster,1040.0,390.0,43.0,,25.0,,1.5,145.0,,480.0,,146.0,,2.0,,118.0,21.0,,,,,0,0,0,0,0,0,0,1,0,0,0,1
322,Salted Caramel Milkshake,Monster,1190.0,350.0,39.0,,25.0,,1.5,155.0,,1610.0,,192.0,,0.0,,155.0,20.0,,,,,0,0,0,0,0,0,0,1,0,0,0,1
323,Black & Bleu,,850.0,480.0,53.0,,17.0,,1.5,130.0,,1150.0,,52.0,,3.0,,12.0,39.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
324,Smoke & PepperTM,,790.0,360.0,40.0,,17.0,,1.5,145.0,,1880.0,,58.0,,2.0,,18.0,49.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
325,The MadLove Burger,,1050.0,520.0,58.0,,25.0,,2.0,180.0,,1800.0,,71.0,,5.0,,27.0,63.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
326,The Master Cheese,,790.0,410.0,45.0,,19.0,,1.5,140.0,,1560.0,,48.0,,2.0,,10.0,47.0,,,,,1,0,0,0,0,0,0,0,0,0,0,1
327,Barq’s® Root Beer,Adult,130.0,0.0,0.0,,0.0,,0.0,0.0,,60.0,,38.0,,0.0,,38.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
328,Coca-Cola Classic®,Adult,120.0,0.0,0.0,,0.0,,0.0,0.0,,40.0,,33.0,,0.0,,33.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
329,Diet Coke®,Adult,0.0,0.0,0.0,,0.0,,0.0,0.0,,35.0,,0.0,,0.0,,0.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
330,Dr Pepper®,Adult,130.0,0.0,0.0,,0.0,,0.0,0.0,,50.0,,33.0,,0.0,,32.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
331,Minute Maid® Lemonade,Adult,140.0,0.0,0.0,,0.0,,0.0,0.0,,20.0,,36.0,,0.0,,35.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
332,Lemonade with Peach Flavor,,240.0,0.0,0.0,,0.0,,0.0,0.0,,15.0,,64.0,,0.0,,60.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
333,Lemonade with Raspberry Flavor,,240.0,0.0,0.0,,0.0,,0.0,0.0,,15.0,,63.0,,0.0,,61.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
334,Lemonade with Sugar Free Peach Flavor,,120.0,0.0,0.0,,0.0,,0.0,0.0,,15.0,,38.0,,0.0,,32.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
335,Lemonade with Sugar Free Raspberry Flavor,,120.0,0.0,0.0,,0.0,,0.0,0.0,,15.0,,38.0,,0.0,,32.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
336,Freckled Lemonade®,Adult,150.0,0.0,0.0,,0.0,,0.0,0.0,,10.0,,38.0,,0.0,,37.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
337,Orange Cream Soda,,210.0,25.0,2.5,,1.5,,0.0,10.0,,25.0,,47.0,,0.0,,44.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
338,Raspberry Cream Soda,,210.0,25.0,2.5,,1.5,,0.0,10.0,,25.0,,46.0,,0.0,,43.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
339,Poppin’ Purple Lemonade,,190.0,0.0,0.0,,0.0,,0.0,0.0,,10.0,,47.0,,0.0,,45.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
340,Root Beer Float,Adult,580.0,130.0,15.0,,9.0,,0.5,55.0,,250.0,,116.0,,0.0,,110.0,7.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
341,Sprite®,Adult,130.0,0.0,0.0,,0.0,,0.0,0.0,,30.0,,34.0,,0.0,,30.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
